channel_id,life_time
0,16784.53194448681
1,13146.710217540625
2,18869.997383965318
3,14614.379024043223
4,17011.21643593891
5,18932.178582728186
6,16203.546323071352
7,25428.101306303906
8,26173.421014634307
9,21345.2282096521
10,21148.113884183815
11,18131.272035674436
12,14705.362965805345
13,18384.80063668794
14,32622.557917156046
15,15551.128131239839
16,21493.704947794908
17,19947.87618865672
18,22143.585186470507
19,26973.72732049821
20,28884.358348275608
21,23587.140470703864
22,18900.94172139041
23,30520.622594344888
24,20559.86383723195
25,18298.616806208796
26,18896.87244332184
27,14190.62904150642
28,19083.795561846055
29,20268.792981560233
30,17501.15552397364
31,28504.66698892724
32,27113.186533537595
33,22308.57818413776
34,28676.058591448847
35,22166.55420770673
36,15209.166773468529
37,19080.195390286462
38,24606.559039451422
39,16769.750086423763
40,22786.203762134963
41,25094.73061215964
42,12864.692795032814
43,10875.837846120306
44,22798.96764952174
45,15827.69367212383
46,24102.631352399676
47,14756.669156750224
48,28000.137049884655
49,11666.673484758405
50,15455.924195133324
51,22495.350083561047
52,10865.54567497626
53,8794.048040291917
54,14588.606137863066
55,15932.073364190988
56,19280.1006116
57,13548.782970559812
58,25596.200903083405
59,26332.291620783228
60,28020.84631532477
61,22847.090783068877
62,20879.27906823703
63,21668.08197222829
64,19121.179986154206
65,17651.127678303157
66,17161.62933246275
67,13991.010548390104
68,16507.536960538226
69,15262.481794485815
70,30296.13416046241
71,13359.752087195318
72,14921.748511613489
73,15388.772044667789
74,19714.337773257834
75,20051.311567008997
76,16920.455950101503
77,13378.4974647901
78,12792.09734786763
79,16233.199377765228
80,17267.552898341386
81,28791.879552602746
82,25987.297129059683
83,37910.11496667082
84,37527.13888359721
85,32621.43994037248
86,16827.286329330327
87,12800.618905398987
88,33897.14008607076
89,23715.28666720524
90,17839.8779042888
91,16754.421159602134
92,18757.97980490044
93,6363.513597254783
94,26180.59208894254
95,11590.757029211494
96,23732.582081527227
97,12025.6794566125
98,13921.636928025826
99,13363.01757524249
100,21351.12181681774
101,14673.15863125479
102,25810.52891081138
103,33336.18029845279
104,18444.0422661018
105,18178.303296382754
106,25204.497176460234
107,21206.90720733414
108,18846.320738351358
109,23457.544373032226
110,48148.77764672887
111,21068.484065372635
112,29173.46689457449
113,21390.302270395197
114,15563.124711507782
115,17362.555294238602
116,19268.646559831323
117,15207.597109905138
118,18135.44733573542
119,12668.739487642739
120,22186.637247747913
121,25490.050831665554
122,19379.077270756326
123,12081.370546110507
124,21337.02485247669
125,20900.5290476449
126,31374.778381078384
127,22825.40177468559
128,16238.141548123214
129,21155.584460874717
130,20033.094419582616
131,20836.535122592915
132,27628.34479963849
133,9935.805880644402
134,23929.245518161617
135,12997.435340497717
136,14283.51467756849
137,16382.636128956357
138,14906.331120900497
139,22982.66510519771
140,14282.18353140765
141,17005.199914927107
142,10093.237398748754
143,11147.848818622313
144,9696.006138129256
145,17324.074470013045
146,11298.465916568306
147,13094.055535868776
148,16341.26848076076
149,27656.28180443862
150,15919.507211565806
151,17259.08773838474
152,25899.130263049432
153,27486.629794185745
154,27069.339994155613
155,19089.219501473668
156,35367.161310296186
157,17580.413747536244
158,25773.154271533593
159,17845.31566919785
160,19981.424656965966
161,17875.44601531389
162,14379.726035702579
163,15667.29943060595
164,19331.329799634965
165,19273.912166163154
166,12050.269601686472
167,17182.586715228008
168,23504.506013126338
169,15115.301126458558
170,25510.01983129443
171,24907.379907824696
172,22373.652909338743
173,25746.281770583122
174,19294.82511774548
175,10274.025613930116
176,12862.74918003107
177,15243.564008815865
178,17887.06721277301
179,29116.41052544497
180,20516.19931826364
181,15635.11116700665
182,31582.337021083295
183,18771.341404747418
184,22317.554745407804
185,22046.541574855542
186,21471.235855268114
187,22245.763198742407
188,23967.92205389891
189,14926.818282425002
190,30679.062958699385
191,19502.41876671171
192,15865.699271764914
193,23689.592565892057
194,26334.60038205487
195,15348.602560857185
196,18509.344997568856
197,20199.63575373837
198,15373.33679641586
199,31067.828437677468
200,17421.140427890616
201,23664.520233929663
202,18997.670738549627
203,10191.244264048975
204,21205.218073070628
205,18496.738311657427
206,21825.660444734644
207,17012.65279189618
