channel_id,life_time
397,23824.69650410744
398,24631.889732338026
399,10761.01316717963
400,14817.583885123327
401,23361.439455448763
402,14807.79784738835
403,20299.96894327744
404,22816.12533267996
405,10520.30001730815
406,8376.928592572905
407,16125.265403474865
408,17370.852037596243
409,21234.696684332113
410,17773.41222443212
411,29067.69865486813
412,14447.921708028465
413,9945.363166962901
414,17802.43199078956
415,11823.025434788075
416,13935.630101224375
417,17058.772653348216
418,35689.59484920477
419,24345.461781979873
420,17406.954067229635
421,19823.196077279845
422,26039.11535289479
423,20924.036748065115
424,19959.303534231894
425,31116.22131262217
426,19045.30250082567
427,14841.161091574262
428,18737.399509587445
429,16215.521561472937
430,14166.116570272909
431,19102.75568654218
432,19434.45917601579
433,10810.50924805226
434,20883.665000949673
435,14562.142699677344
436,27879.3188065237
437,38511.092613674344
438,8426.361083287162
439,8256.343954145015
440,19074.63064074123
441,22719.35936533004
442,21876.326113614945
443,19017.212774954554
444,19547.251974991035
445,24766.55839297498
446,19691.275359730786
447,26739.517514980795
448,21506.12972994807
449,24659.695266083236
450,20049.735537952918
451,18074.900977024357
452,20899.30377751771
453,28985.66949257015
454,19942.235528158384
455,24099.365246607464
456,17564.87854621783
457,32915.73776677449
458,19966.549365534738
459,10910.348767737994
460,16611.03207662005
461,19256.511502958598
462,13205.995622331922
463,15503.003189374316
464,16074.408958134753
465,18368.08040364579
466,20590.479269559106
467,26396.952565173295
468,25351.816843048127
469,17673.408296937763
470,17476.100933276688
471,25934.459321301994
472,24098.075450236196
473,22810.75079728551
474,24489.375523156865
475,24956.695933698174
476,19622.612044713886
477,20167.539264695817
478,19703.528022180373
479,12177.835651167687
480,22185.100819668474
481,19327.389492794493
482,25530.216237933444
483,15418.53175494281
484,12924.114228421719
485,18847.06492185899
486,20365.24214751698
487,25885.512379144515
488,9830.134443848494
489,17626.794075538015
490,24853.493456932883
491,16972.34458801343
492,16373.107747714314
493,18456.871813551716
494,17018.866667531907
495,24739.458861671057
496,21037.577929330375
497,23451.320973810965
498,28740.89600034432
499,24889.828930980668
500,17150.601942341887
501,16555.825076140136
502,19296.925858245362
503,28342.616232580524
504,17401.624000597432
505,19390.413866269464
506,23478.797107094088
507,19540.55135200763
