id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,9,18275890,0,1,16149089
1,2,3,0,10,18333023,0,1,5277273
2,4,5,0,14,17721652,0,1,6949744
3,6,7,0,20,16086899,0,1,8018007
4,8,9,0,21,17406539,0,1,2550496
5,10,11,0,27,19720880,0,1,53539941
6,12,13,0,36,17517595,0,1,3865835
7,14,15,0,57,18009414,0,1,14790518
8,16,17,0,72,18820583,0,1,16855002
9,18,19,0,73,20599408,0,1,5242178
10,20,21,0,92,18476679,0,1,5444168
11,22,23,1,3,16196422,0,1,8986130
12,24,25,1,15,14651827,0,1,6155948
13,26,27,1,26,16520131,0,1,5767251
14,28,29,1,27,16777237,0,1,12324089
15,30,31,1,28,15792970,0,1,4167164
16,32,33,1,34,19331272,0,1,7702466
17,34,35,1,43,19358978,0,1,2960202
18,36,37,1,53,19652001,0,1,5778339
19,38,39,1,54,20309658,0,1,15623257
20,40,41,1,71,19674074,0,1,9961245
21,42,43,1,82,20099210,0,1,7317944
22,44,45,1,84,17452722,0,1,2664642
23,46,47,2,9,21308261,0,1,9864919
24,48,49,2,26,18460351,0,1,37274887
25,50,51,2,43,18082393,0,1,9029346
26,52,53,2,44,15907967,0,1,13083436
27,54,55,2,54,16516748,0,1,36721060
28,56,57,2,63,16878502,0,1,18250929
29,58,59,2,65,18929675,0,1,10779034
30,60,61,2,68,17657980,0,1,19169976
31,62,63,2,86,20394149,0,1,2242242
32,64,65,2,87,18319160,0,1,7141179
33,66,67,2,93,18705950,0,1,10697171
34,68,69,3,12,17926114,0,1,9003540
35,70,71,3,31,18418046,0,1,5117611
36,72,73,3,33,15569465,0,1,11006603
37,74,75,3,35,16880125,0,1,9028849
38,76,77,3,36,16190273,0,1,7870065
39,78,79,3,45,15105402,0,1,10089589
40,80,81,3,59,18750336,0,1,21744806
41,82,83,3,73,18775328,0,1,12197339
42,84,85,3,83,14482897,0,1,17812531
43,86,87,3,87,13762997,0,1,3148507
44,88,89,3,97,18987819,0,1,14272305
45,90,91,4,19,15344844,0,1,7245370
46,92,93,4,20,19886435,0,1,17532486
47,94,95,4,42,15927830,0,1,5601907
48,96,97,4,49,17342076,0,1,7922188
49,98,99,4,79,16159795,0,1,3560174
50,100,101,4,82,20099884,0,1,1953670
51,102,103,5,24,19767428,0,1,9028647
52,104,105,5,35,15837082,0,1,9373248
53,106,107,5,52,15480991,0,1,2759532
54,108,109,5,84,20062648,0,1,9965586
55,110,111,5,90,17278535,0,1,9848552
56,112,113,6,8,17143771,0,1,3257365
57,114,115,6,30,16648231,0,1,5576447
58,116,117,6,59,19193604,0,1,22165908
59,118,119,6,61,19731057,0,1,61395186
60,120,121,6,65,19965673,0,1,4439263
61,122,123,6,74,16774053,0,1,22951814
62,124,125,6,89,17330825,0,1,4243318
63,126,127,7,9,19695729,0,1,24993184
64,128,129,7,12,16804702,0,1,3270178
65,130,131,7,18,18365350,0,1,7341334
66,132,133,7,19,18965583,0,1,8034290
67,134,135,7,21,18917711,0,1,4595894
68,136,137,7,24,16912833,0,1,30037458
69,138,139,7,25,16666933,0,1,19765489
70,140,141,7,36,20590577,0,1,33507352
71,142,143,7,43,16996592,0,1,3616480
72,144,145,7,60,18901726,0,1,4130231
73,146,147,7,61,15865969,0,1,3141470
74,148,149,7,66,17722060,0,1,3810771
75,150,151,7,73,16662861,0,1,31054019
76,152,153,7,75,19533619,0,1,9823837
77,154,155,7,77,18516150,0,1,3499777
78,156,157,7,78,16534430,0,1,6680469
79,158,159,8,18,17574348,0,1,14870989
80,160,161,8,21,18461763,0,1,31880857
81,162,163,8,35,19891027,0,1,5726718
82,164,165,8,67,16979543,0,1,34410427
83,166,167,8,68,20435842,0,1,19706502
84,168,169,8,75,18966686,0,1,18811631
85,170,171,8,76,19586468,0,1,93843031
86,172,173,8,81,15442034,0,1,3684121
87,174,175,9,18,15746019,0,1,11405444
88,176,177,9,24,21352389,0,1,11621278
89,178,179,9,69,17706125,0,1,35032432
90,180,181,9,87,17715247,0,1,5793202
91,182,183,9,91,17671068,0,1,9497942
92,184,185,9,98,16741099,0,1,5039898
93,186,187,10,29,14278553,0,1,7874452
94,188,189,10,53,17764674,0,1,41530632
95,190,191,10,88,16673006,0,1,5308758
96,192,193,11,12,17641758,0,1,9304231
97,194,195,11,22,14534043,0,1,3045165
98,196,197,11,23,19729155,0,1,24723527
99,198,199,11,26,15155924,0,1,6317256
100,200,201,11,33,17664638,0,1,10150416
101,202,203,11,39,18686027,0,1,13793047
102,204,205,11,40,18348906,0,1,10209593
103,206,207,11,45,20175128,0,1,8446861
104,208,209,11,46,16386043,0,1,5702404
105,210,211,11,73,17437848,0,1,4972349
106,212,213,11,92,18991127,0,1,4700906
107,214,215,12,27,17495538,0,1,16782569
108,216,217,12,41,15437210,0,1,19882874
109,218,219,12,43,16897890,0,1,34948405
110,220,221,12,45,20701404,0,1,19389079
111,222,223,12,46,15219111,0,1,3620585
112,224,225,12,71,18096738,0,1,24966706
113,226,227,12,80,18101879,0,1,26607976
114,228,229,12,89,17232776,0,1,1128130
115,230,231,12,95,17953271,0,1,2161247
116,232,233,13,28,18013696,0,1,6150880
117,234,235,13,29,17937328,0,1,29038421
118,236,237,13,39,18909126,0,1,15384530
119,238,239,13,46,18076319,0,1,12379571
120,240,241,13,77,18357098,0,1,28968663
121,242,243,14,37,19746760,0,1,11767429
122,244,245,14,39,18639284,0,1,4443606
123,246,247,14,46,15793725,0,1,2612221
124,248,249,14,58,16379529,0,1,13669812
125,250,251,14,68,18606815,0,1,16375158
126,252,253,14,89,20587525,0,1,27015861
127,254,255,15,22,19393994,0,1,18801154
128,256,257,15,27,15674699,0,1,18968720
129,258,259,15,33,18928642,0,1,17495501
130,260,261,15,35,19202083,0,1,14988085
131,262,263,15,48,17655632,0,1,5865827
132,264,265,15,56,20578906,0,1,23275017
133,266,267,15,88,14467794,0,1,8560765
134,268,269,16,18,22225466,0,1,18737601
135,270,271,16,31,17077396,0,1,11987972
136,272,273,16,32,17179543,0,1,18148161
137,274,275,16,40,16364078,0,1,36321070
138,276,277,16,44,16134177,0,1,28813135
139,278,279,16,56,19526111,0,1,8956389
140,280,281,16,64,16370648,0,1,3748805
141,282,283,16,68,20599392,0,1,14862140
142,284,285,16,81,14031463,0,1,19327586
143,286,287,16,88,18394475,0,1,5417481
144,288,289,16,90,17773394,0,1,7885783
145,290,291,16,93,18180389,0,1,3555156
146,292,293,16,95,17373731,0,1,7480603
147,294,295,16,97,17276370,0,1,37141908
148,296,297,17,30,17956587,0,1,4089250
149,298,299,17,31,19622830,0,1,23980401
150,300,301,17,39,17776917,0,1,5449289
151,302,303,17,63,14707703,0,1,7208990
152,304,305,17,77,16320383,0,1,19446647
153,306,307,17,81,18679668,0,1,6711421
154,308,309,17,87,20334572,0,1,44696197
155,310,311,18,27,17334913,0,1,6815353
156,312,313,18,40,23031220,0,1,14199261
157,314,315,18,45,17915098,0,1,12905741
158,316,317,18,56,20200522,0,1,9087825
159,318,319,18,58,17836831,0,1,18737901
160,320,321,18,74,18360648,0,1,12546557
161,322,323,18,75,18097283,0,1,6934888
162,324,325,18,76,17937630,0,1,11975883
163,326,327,18,79,16753147,0,1,4222205
164,328,329,18,80,18286798,0,1,8770671
165,330,331,18,83,19247267,0,1,17982345
166,332,333,18,84,17069537,0,1,11829995
167,334,335,18,98,18672242,0,1,6998046
168,336,337,19,25,19001435,0,1,11835721
169,338,339,19,31,17855634,0,1,8853749
170,340,341,19,49,18235871,0,1,5647760
171,342,343,19,66,18267610,0,1,17030215
172,344,345,19,78,19057474,0,1,6252103
173,346,347,19,88,21237560,0,1,17456665
174,348,349,20,22,18236793,0,1,2631723
175,350,351,20,39,18243963,0,1,4594681
176,352,353,20,49,16027018,0,1,4721019
177,354,355,20,52,17309163,0,1,4041670
178,356,357,20,53,18684853,0,1,9452411
179,358,359,20,72,20061802,0,1,9809856
180,360,361,20,79,20640763,0,1,11867830
181,362,363,20,84,17627455,0,1,21749394
182,364,365,20,92,20982894,0,1,20650707
183,366,367,20,95,17609935,0,1,13876215
184,368,369,20,96,19288723,0,1,11185745
185,370,371,21,22,18055321,0,1,25383274
186,372,373,21,32,18029183,0,1,12490625
187,374,375,21,33,16425191,0,1,8129500
188,376,377,21,36,18591276,0,1,3976213
189,378,379,21,47,17432917,0,1,8837965
190,380,381,21,71,20631793,0,1,39139887
191,382,383,21,79,17699168,0,1,6386910
192,384,385,21,85,15722346,0,1,3696293
193,386,387,21,92,16089249,0,1,23831537
194,388,389,22,26,18432565,0,1,52551552
195,390,391,22,29,17791502,0,1,14706475
196,392,393,22,53,16107045,0,1,5498720
197,394,395,22,64,19262600,0,1,2678846
198,396,397,22,66,18156294,0,1,7484347
199,398,399,22,72,21796464,0,1,12680316
200,400,401,22,85,16896532,0,1,12862258
201,402,403,22,92,19136336,0,1,9192321
202,404,405,23,38,18787223,0,1,6470289
203,406,407,23,43,16812556,0,1,3195107
204,408,409,23,99,18493322,0,1,1858530
205,410,411,24,31,16833025,0,1,3929270
206,412,413,24,65,20343615,0,1,24650694
207,414,415,24,73,16642694,0,1,26384875
208,416,417,24,80,20981170,0,1,13797094
209,418,419,24,82,16004908,0,1,6501036
210,420,421,25,30,22158316,0,1,35634022
211,422,423,25,32,18857187,0,1,5517426
212,424,425,25,37,16966480,0,1,13729660
213,426,427,25,40,20179649,0,1,46861287
214,428,429,25,50,16342064,0,1,3169706
215,430,431,25,61,15361464,0,1,6494875
216,432,433,25,65,16389915,0,1,4641814
217,434,435,25,66,14473440,0,1,20182057
218,436,437,25,72,17368564,0,1,41500342
219,438,439,25,84,18502729,0,1,11361221
220,440,441,25,88,17958606,0,1,5196081
221,442,443,25,93,15606102,0,1,7055993
222,444,445,26,29,19450061,0,1,20604218
223,446,447,26,56,15069008,0,1,8687752
224,448,449,26,79,16334767,0,1,24092793
225,450,451,26,81,18092524,0,1,17633631
226,452,453,26,98,20178751,0,1,12985766
227,454,455,27,28,16890415,0,1,25621827
228,456,457,27,35,18785557,0,1,13279559
229,458,459,27,46,18790008,0,1,21204489
230,460,461,27,54,17399924,0,1,16539305
231,462,463,27,78,18983592,0,1,30803382
232,464,465,27,87,19172467,0,1,15886189
233,466,467,27,98,14659849,0,1,8043730
234,468,469,28,58,16899239,0,1,44162497
235,470,471,28,68,17269346,0,1,23092804
236,472,473,28,76,16401200,0,1,4622449
237,474,475,28,79,19788908,0,1,30666186
238,476,477,28,82,15172570,0,1,17836502
239,478,479,28,85,16470964,0,1,3759509
240,480,481,28,86,16096226,0,1,41254709
241,482,483,28,87,20238083,0,1,14220037
242,484,485,29,37,23060852,0,1,32286574
243,486,487,29,54,15125628,0,1,9383159
244,488,489,29,64,19342849,0,1,28587468
245,490,491,29,65,17955980,0,1,2823354
246,492,493,29,70,17820040,0,1,5920726
247,494,495,29,82,19704126,0,1,9655527
248,496,497,29,83,16262686,0,1,6091877
249,498,499,29,86,19745667,0,1,17952907
250,500,501,29,87,18381039,0,1,31854351
251,502,503,29,98,15136073,0,1,5305253
252,504,505,30,31,19836178,0,1,42918015
253,506,507,30,36,18756726,0,1,37740257
254,508,509,30,38,16290124,0,1,2762583
255,510,511,30,41,20003064,0,1,9823169
256,512,513,30,44,17788824,0,1,8812284
257,514,515,30,57,18108112,0,1,11958186
258,516,517,30,58,16622913,0,1,57247615
259,518,519,30,67,18812736,0,1,5991470
260,520,521,30,73,20558337,0,1,34553400
261,522,523,30,78,20341391,0,1,6004857
262,524,525,30,84,14966620,0,1,1082488
263,526,527,30,86,14924224,0,1,8726286
264,528,529,30,89,18164241,0,1,9699335
265,530,531,30,92,17559781,0,1,5032718
266,532,533,31,35,16873927,0,1,42676722
267,534,535,31,54,17830794,0,1,15939072
268,536,537,31,57,19114025,0,1,12796406
269,538,539,31,81,19716858,0,1,11646991
270,540,541,31,82,15820685,0,1,9311426
271,542,543,31,99,16356481,0,1,15862834
272,544,545,32,33,17453271,0,1,35092849
273,546,547,32,34,16822759,0,1,3658052
274,548,549,32,39,17967665,0,1,6372964
275,550,551,32,46,19220545,0,1,3534543
276,552,553,32,53,22219878,0,1,7801284
277,554,555,32,71,17235672,0,1,23043485
278,556,557,32,94,21698956,0,1,2784632
