id,edge1,edge2,node1,node2,capacity,is_closed,is_unbalanced,unbalancing_time
0,0,1,0,9,18275890,0,1,4461968
1,2,3,0,10,18333023,0,1,7208692
2,4,5,0,14,17721652,0,1,4589021
3,6,7,0,20,16086899,0,1,3032187
4,8,9,0,21,17406539,0,1,24361674
5,10,11,0,27,19720880,0,1,4044715
6,12,13,0,36,17517595,0,1,2026469
7,14,15,0,57,18009414,0,1,25325873
8,16,17,0,72,18820583,0,1,4979894
9,18,19,0,73,20599408,0,1,5033773
10,20,21,0,92,18476679,0,1,13253772
11,22,23,1,3,16196422,0,1,3493130
12,24,25,1,15,14651827,0,1,8953925
13,26,27,1,26,16520131,0,1,12887880
14,28,29,1,27,16777237,0,1,18921685
15,30,31,1,28,15792970,0,1,7925052
16,32,33,1,34,19331272,0,1,5534273
17,34,35,1,43,19358978,0,1,9947208
18,36,37,1,53,19652001,0,1,11978548
19,38,39,1,54,20309658,0,1,15549556
20,40,41,1,71,19674074,0,1,10308511
21,42,43,1,82,20099210,0,1,33124656
22,44,45,1,84,17452722,0,1,3313186
23,46,47,2,9,21308261,0,1,34856860
24,48,49,2,26,18460351,0,1,6772904
25,50,51,2,43,18082393,0,1,3516139
26,52,53,2,44,15907967,0,1,29096525
27,54,55,2,54,16516748,0,1,7532785
28,56,57,2,63,16878502,0,1,8157707
29,58,59,2,65,18929675,0,1,2962349
30,60,61,2,68,17657980,0,1,13296957
31,62,63,2,86,20394149,0,1,5091414
32,64,65,2,87,18319160,0,1,13329364
33,66,67,2,93,18705950,0,1,27214385
34,68,69,3,12,17926114,0,1,5938254
35,70,71,3,31,18418046,0,1,25775428
36,72,73,3,33,15569465,0,1,4170829
37,74,75,3,35,16880125,0,1,10006366
38,76,77,3,36,16190273,0,1,5466280
39,78,79,3,45,15105402,0,1,4037488
40,80,81,3,59,18750336,0,1,10614522
41,82,83,3,73,18775328,0,1,52027284
42,84,85,3,83,14482897,0,1,7099399
43,86,87,3,87,13762997,0,1,3764081
44,88,89,3,97,18987819,0,1,14325761
45,90,91,4,19,15344844,0,1,5620544
46,92,93,4,20,19886435,0,1,26570186
47,94,95,4,42,15927830,0,1,8243400
48,96,97,4,49,17342076,0,1,11676169
49,98,99,4,79,16159795,0,1,2050833
50,100,101,4,82,20099884,0,1,27739846
51,102,103,5,24,19767428,0,1,12385045
52,104,105,5,35,15837082,0,1,10230375
53,106,107,5,52,15480991,0,1,3151170
54,108,109,5,84,20062648,0,1,12125111
55,110,111,5,90,17278535,0,1,6346388
56,112,113,6,8,17143771,0,1,9476560
57,114,115,6,30,16648231,0,1,26413950
58,116,117,6,59,19193604,0,1,4522770
59,118,119,6,61,19731057,0,1,17361539
60,120,121,6,65,19965673,0,1,6384348
61,122,123,6,74,16774053,0,1,8634709
62,124,125,6,89,17330825,0,1,3093887
63,126,127,7,9,19695729,0,1,17650402
64,128,129,7,12,16804702,0,1,14093993
65,130,131,7,18,18365350,0,1,8261582
66,132,133,7,19,18965583,0,1,8524107
67,134,135,7,21,18917711,0,1,4544473
68,136,137,7,24,16912833,0,1,1518501
69,138,139,7,25,16666933,0,1,1422280
70,140,141,7,36,20590577,0,1,14448565
71,142,143,7,43,16996592,0,1,3312642
72,144,145,7,60,18901726,0,1,1662772
73,146,147,7,61,15865969,0,1,4746465
74,148,149,7,66,17722060,0,1,2754521
75,150,151,7,73,16662861,0,1,14529789
76,152,153,7,75,19533619,0,1,8759961
77,154,155,7,77,18516150,0,1,14799067
78,156,157,7,78,16534430,0,1,5783371
79,158,159,8,18,17574348,0,1,27576840
80,160,161,8,21,18461763,0,1,2893272
81,162,163,8,35,19891027,0,1,9443639
82,164,165,8,67,16979543,0,1,13691074
83,166,167,8,68,20435842,0,1,8620926
84,168,169,8,75,18966686,0,1,17724557
85,170,171,8,76,19586468,0,1,12749198
86,172,173,8,81,15442034,0,1,4334679
87,174,175,9,18,15746019,0,1,4525097
88,176,177,9,24,21352389,0,1,13329064
89,178,179,9,69,17706125,0,1,5977135
90,180,181,9,87,17715247,0,1,2040254
91,182,183,9,91,17671068,0,1,15705959
92,184,185,9,98,16741099,0,1,2902355
93,186,187,10,29,14278553,0,1,9222296
94,188,189,10,53,17764674,0,1,8740765
95,190,191,10,88,16673006,0,1,26334311
96,192,193,11,12,17641758,0,1,19798563
97,194,195,11,22,14534043,0,1,9417769
98,196,197,11,23,19729155,0,1,2790848
99,198,199,11,26,15155924,0,1,10527104
100,200,201,11,33,17664638,0,1,3566350
101,202,203,11,39,18686027,0,1,23380805
102,204,205,11,40,18348906,0,1,10953387
103,206,207,11,45,20175128,0,1,10009462
104,208,209,11,46,16386043,0,1,7902061
105,210,211,11,73,17437848,0,1,5359923
106,212,213,11,92,18991127,0,1,31257869
107,214,215,12,27,17495538,0,1,5667423
108,216,217,12,41,15437210,0,1,6325792
109,218,219,12,43,16897890,0,1,26895498
110,220,221,12,45,20701404,0,1,32231179
111,222,223,12,46,15219111,0,1,17072537
112,224,225,12,71,18096738,0,1,5938454
113,226,227,12,80,18101879,0,1,3018096
114,228,229,12,89,17232776,0,1,6913243
115,230,231,12,95,17953271,0,1,5355873
116,232,233,13,28,18013696,0,1,12203913
117,234,235,13,29,17937328,0,1,2766040
118,236,237,13,39,18909126,0,1,6910744
119,238,239,13,46,18076319,0,1,28479726
120,240,241,13,77,18357098,0,1,14448366
121,242,243,14,37,19746760,0,1,9571943
122,244,245,14,39,18639284,0,1,24074559
123,246,247,14,46,15793725,0,1,14246968
124,248,249,14,58,16379529,0,1,26008419
125,250,251,14,68,18606815,0,1,12718963
126,252,253,14,89,20587525,0,1,22108024
127,254,255,15,22,19393994,0,1,21527677
128,256,257,15,27,15674699,0,1,8535386
129,258,259,15,33,18928642,0,1,2142952
130,260,261,15,35,19202083,0,1,5933061
131,262,263,15,48,17655632,0,1,2454771
132,264,265,15,56,20578906,0,1,30226478
133,266,267,15,88,14467794,0,1,13153833
134,268,269,16,18,22225466,0,1,12867106
135,270,271,16,31,17077396,0,1,2893121
136,272,273,16,32,17179543,0,1,18119008
137,274,275,16,40,16364078,0,1,4124477
138,276,277,16,44,16134177,0,1,23508902
139,278,279,16,56,19526111,0,1,10379120
140,280,281,16,64,16370648,0,1,11144745
141,282,283,16,68,20599392,0,1,23025897
142,284,285,16,81,14031463,0,1,10455239
143,286,287,16,88,18394475,0,1,9419682
144,288,289,16,90,17773394,0,1,16072775
145,290,291,16,93,18180389,0,1,6504846
146,292,293,16,95,17373731,0,1,5451058
147,294,295,16,97,17276370,0,1,20019300
148,296,297,17,30,17956587,0,1,6420571
149,298,299,17,31,19622830,0,1,23046197
150,300,301,17,39,17776917,0,1,2986016
151,302,303,17,63,14707703,0,1,35341590
152,304,305,17,77,16320383,0,1,24030344
153,306,307,17,81,18679668,0,1,3918797
154,308,309,17,87,20334572,0,1,39332034
155,310,311,18,27,17334913,0,1,20364873
156,312,313,18,40,23031220,0,1,27373018
157,314,315,18,45,17915098,0,1,48209143
158,316,317,18,56,20200522,0,1,63363705
159,318,319,18,58,17836831,0,1,21773124
160,320,321,18,74,18360648,0,1,2789999
161,322,323,18,75,18097283,0,1,4796223
162,324,325,18,76,17937630,0,1,12309770
163,326,327,18,79,16753147,0,1,12110107
164,328,329,18,80,18286798,0,1,5045739
165,330,331,18,83,19247267,0,1,62207809
166,332,333,18,84,17069537,0,1,45245398
167,334,335,18,98,18672242,0,1,5022364
168,336,337,19,25,19001435,0,1,11139316
169,338,339,19,31,17855634,0,1,4804408
170,340,341,19,49,18235871,0,1,8341850
171,342,343,19,66,18267610,0,1,21753223
172,344,345,19,78,19057474,0,1,6149859
173,346,347,19,88,21237560,0,1,7853398
174,348,349,20,22,18236793,0,1,6891798
175,350,351,20,39,18243963,0,1,4702386
176,352,353,20,49,16027018,0,1,2196957
177,354,355,20,52,17309163,0,1,6268213
178,356,357,20,53,18684853,0,1,55852356
179,358,359,20,72,20061802,0,1,87356592
180,360,361,20,79,20640763,0,1,15338921
181,362,363,20,84,17627455,0,1,6207470
182,364,365,20,92,20982894,0,1,26413742
183,366,367,20,95,17609935,0,1,35411975
184,368,369,20,96,19288723,0,1,17643347
185,370,371,21,22,18055321,0,1,29742404
186,372,373,21,32,18029183,0,1,6602865
187,374,375,21,33,16425191,0,1,5486198
188,376,377,21,36,18591276,0,1,6837902
189,378,379,21,47,17432917,0,1,8681401
190,380,381,21,71,20631793,0,1,18979690
191,382,383,21,79,17699168,0,1,17711114
192,384,385,21,85,15722346,0,1,3228445
193,386,387,21,92,16089249,0,1,9829159
194,388,389,22,26,18432565,0,1,18203104
195,390,391,22,29,17791502,0,1,28058575
196,392,393,22,53,16107045,0,1,5348287
197,394,395,22,64,19262600,0,1,12417784
198,396,397,22,66,18156294,0,1,10421197
199,398,399,22,72,21796464,0,1,28468333
200,400,401,22,85,16896532,0,1,7135110
201,402,403,22,92,19136336,0,1,3590996
202,404,405,23,38,18787223,0,1,10498160
203,406,407,23,43,16812556,0,1,8576329
204,408,409,23,99,18493322,0,1,3151678
205,410,411,24,31,16833025,0,1,8707603
206,412,413,24,65,20343615,0,1,24072554
207,414,415,24,73,16642694,0,1,9047372
208,416,417,24,80,20981170,0,1,28308809
209,418,419,24,82,16004908,0,1,11955428
210,420,421,25,30,22158316,0,1,12938701
211,422,423,25,32,18857187,0,1,27558231
212,424,425,25,37,16966480,0,1,38732145
213,426,427,25,40,20179649,0,1,43355707
214,428,429,25,50,16342064,0,1,8997713
215,430,431,25,61,15361464,0,1,52231757
216,432,433,25,65,16389915,0,1,31884911
217,434,435,25,66,14473440,0,1,9835993
218,436,437,25,72,17368564,0,1,3055917
219,438,439,25,84,18502729,0,1,15043271
220,440,441,25,88,17958606,0,1,4757653
221,442,443,25,93,15606102,0,1,7487739
222,444,445,26,29,19450061,0,1,31838573
223,446,447,26,56,15069008,0,1,6732848
224,448,449,26,79,16334767,0,1,14739406
225,450,451,26,81,18092524,0,1,36154439
226,452,453,26,98,20178751,0,1,2405405
227,454,455,27,28,16890415,0,1,13230728
228,456,457,27,35,18785557,0,1,7826897
229,458,459,27,46,18790008,0,1,37057536
230,460,461,27,54,17399924,0,1,4275014
231,462,463,27,78,18983592,0,1,28630720
232,464,465,27,87,19172467,0,1,10338525
233,466,467,27,98,14659849,0,1,5015596
234,468,469,28,58,16899239,0,1,12319716
235,470,471,28,68,17269346,0,1,4056163
236,472,473,28,76,16401200,0,1,8490067
237,474,475,28,79,19788908,0,1,7925846
238,476,477,28,82,15172570,0,1,16466776
239,478,479,28,85,16470964,0,1,43801693
240,480,481,28,86,16096226,0,1,7704601
241,482,483,28,87,20238083,0,1,7704204
242,484,485,29,37,23060852,0,1,40488320
243,486,487,29,54,15125628,0,1,8660026
244,488,489,29,64,19342849,0,1,8049356
245,490,491,29,65,17955980,0,1,33073138
246,492,493,29,70,17820040,0,1,6859956
247,494,495,29,82,19704126,0,1,14614262
248,496,497,29,83,16262686,0,1,27286394
249,498,499,29,86,19745667,0,1,14008812
250,500,501,29,87,18381039,0,1,7538529
251,502,503,29,98,15136073,0,1,6315594
252,504,505,30,31,19836178,0,1,33914306
253,506,507,30,36,18756726,0,1,5041680
254,508,509,30,38,16290124,0,1,6811835
255,510,511,30,41,20003064,0,1,72762224
256,512,513,30,44,17788824,0,1,11175786
257,514,515,30,57,18108112,0,1,14870013
258,516,517,30,58,16622913,0,1,27939556
259,518,519,30,67,18812736,0,1,5319406
260,520,521,30,73,20558337,0,1,24778237
261,522,523,30,78,20341391,0,1,5419090
262,524,525,30,84,14966620,0,1,813354
263,526,527,30,86,14924224,0,1,5990740
264,528,529,30,89,18164241,0,1,6673991
265,530,531,30,92,17559781,0,1,3175531
266,532,533,31,35,16873927,0,1,27961354
267,534,535,31,54,17830794,0,1,10068489
268,536,537,31,57,19114025,0,1,60064261
269,538,539,31,81,19716858,0,1,9094400
270,540,541,31,82,15820685,0,1,18904904
271,542,543,31,99,16356481,0,1,13362259
272,544,545,32,33,17453271,0,1,15872825
273,546,547,32,34,16822759,0,1,7467755
274,548,549,32,39,17967665,0,1,6353791
275,550,551,32,46,19220545,0,1,5320079
276,552,553,32,53,22219878,0,1,17386993
277,554,555,32,71,17235672,0,1,68534836
278,556,557,32,94,21698956,0,1,4896771
279,558,559,33,36,17516165,0,1,7778811
280,560,561,33,42,17824099,0,1,12778689
281,562,563,33,46,14689658,0,1,27776064
282,564,565,33,47,16189079,0,1,3990322
283,566,567,33,57,17786141,0,1,15215551
284,568,569,33,67,15622520,0,1,14207868
285,570,571,33,70,16534140,0,1,33203941
286,572,573,33,92,15993334,0,1,3032487
287,574,575,33,93,17948584,0,1,11090430
